data_hora,temperatura_Celsius,Umidade_relativa
2024-09-01 10:45:00,19.1,90.7
2024-09-01 12:45:00,18.5,91.2
2024-09-01 14:45:00,19.5,88.7
2024-09-01 16:45:00,22.1,80.8
2024-09-01 18:45:00,24.2,75
2024-09-01 20:45:00,26.3,69.7
2024-09-01 22:45:00,26.6,72.8
2024-09-02 00:45:00,23.7,79.2
2024-09-02 02:45:00,21.5,83
2024-09-02 04:45:00,19.9,87.6
2024-09-02 06:45:00,18.7,88.6
2024-09-02 08:45:00,17.5,86.7
2024-09-02 10:45:00,16.1,88.1
2024-09-02 12:45:00,15.6,83.4
2024-09-02 14:45:00,20.2,60.2
2024-09-02 16:45:00,22,53.7
2024-09-02 18:45:00,22.8,52.3
2024-09-02 20:45:00,23.9,49.1
2024-09-02 22:45:00,21.6,70.1
2024-09-03 00:45:00,19.3,76.2
2024-09-03 02:45:00,19,76.9
2024-09-03 04:45:00,18.6,80.4
2024-09-03 06:45:00,18.5,80.9
2024-09-03 08:45:00,18.1,83.7
2024-09-03 10:45:00,17.9,85.6
2024-09-03 12:45:00,18,87
2024-09-03 14:45:00,19.1,84.1
2024-09-03 16:45:00,21.1,73.4
2024-09-03 18:45:00,23.1,71.3
2024-09-03 20:45:00,24.6,68.8
2024-09-03 22:45:00,24.1,76.4
2024-09-04 00:45:00,21.8,83.5
2024-09-04 02:45:00,20.8,85.4
2024-09-04 04:45:00,19.6,88.6
2024-09-04 06:45:00,19.1,90.2
2024-09-04 08:45:00,19.2,90.9
2024-09-04 10:45:00,19.1,91.4
2024-09-04 12:45:00,19.3,90.8
2024-09-04 14:45:00,22.9,76
2024-09-04 16:45:00,23.4,70.2
2024-09-04 18:45:00,24.4,67.4
2024-09-04 20:45:00,23.9,73.5
2024-09-04 22:45:00,22.4,78.9
2024-09-05 00:45:00,21.8,82.5
2024-09-05 02:45:00,21,86.5
2024-09-05 04:45:00,20.7,88
2024-09-05 06:45:00,20.4,89.9
2024-09-05 08:45:00,20,90.8
2024-09-05 10:45:00,19.8,93.8
2024-09-05 12:45:00,19.5,92.6
2024-09-05 14:45:00,19,90.1
2024-09-05 16:45:00,19.1,88.2
2024-09-05 18:45:00,17.9,86.9
2024-09-05 20:45:00,18.3,86.6
2024-09-05 22:45:00,17.9,88.5
2024-09-06 00:45:00,17.6,89.7
2024-09-06 02:45:00,18,88.4
2024-09-06 04:45:00,16.9,89.3
2024-09-06 06:45:00,16.4,90.1
2024-09-06 08:45:00,15.9,90.8
2024-09-06 10:45:00,15.6,89.4
2024-09-06 12:45:00,17.5,84.7
2024-09-06 14:45:00,19,78
2024-09-06 16:45:00,19.9,69.4
2024-09-06 18:45:00,20.3,72
2024-09-06 20:45:00,19.6,76.1
2024-09-06 22:45:00,18.4,84.2
2024-09-07 00:45:00,18.2,86.4
2024-09-07 02:45:00,18,87.9
2024-09-07 04:45:00,18,88.2
2024-09-07 06:45:00,17.5,89.6
2024-09-07 08:45:00,16.6,90.6
2024-09-07 10:45:00,16.2,90.8
2024-09-07 12:45:00,18.7,84.2
2024-09-07 14:45:00,21.1,79.3
2024-09-07 16:45:00,23.3,74.3
2024-09-07 18:45:00,23.9,74.5
2024-09-07 20:45:00,23.4,81
2024-09-07 22:45:00,21.3,88.6
2024-09-08 00:45:00,20.3,90.5
2024-09-08 02:45:00,19.5,91.2
2024-09-08 04:45:00,18.9,91.3
2024-09-08 06:45:00,18.8,92.6
2024-09-08 08:45:00,18.8,93.7
2024-09-08 10:45:00,19.5,92.3
2024-09-08 12:45:00,24.1,79.5
2024-09-08 14:45:00,26,77.1
2024-09-08 16:45:00,28,73.3
2024-09-08 18:45:00,28.9,68.8
2024-09-08 20:45:00,27.2,80.5
2024-09-08 22:45:00,23.6,84.9
2024-09-09 00:45:00,21.5,88.4
2024-09-09 02:45:00,20.4,91.1
2024-09-09 04:45:00,19.9,92.1
2024-09-09 06:45:00,19.8,92.6
2024-09-09 08:45:00,19.5,93.4
2024-09-09 10:45:00,19.6,93.4
2024-09-09 12:45:00,20.4,92.4
2024-09-09 14:45:00,22.7,85.4
2024-09-09 16:45:00,23.3,82.6
2024-09-09 18:45:00,22.9,84.1
2024-09-09 20:45:00,21.9,87.9
2024-09-09 22:45:00,21.9,88.6
2024-09-10 00:45:00,21.7,89.4
2024-09-10 02:45:00,21.3,91.3
2024-09-10 04:45:00,20.9,92.3
2024-09-10 06:45:00,20.8,93
2024-09-10 08:45:00,20.6,93.8
2024-09-10 10:45:00,22,89.7
2024-09-10 12:45:00,25.4,78.5
2024-09-10 14:45:00,26.9,73.6
2024-09-10 16:45:00,28.1,71.7
2024-09-10 18:45:00,28,74.5
2024-09-10 20:45:00,25.6,84.7
2024-09-10 22:45:00,23.9,86
2024-09-11 00:45:00,22.3,88
2024-09-11 02:45:00,21.7,90.6
2024-09-11 04:45:00,21.5,90.6
2024-09-11 06:45:00,21.4,92.3
2024-09-11 08:45:00,21.4,93
2024-09-11 10:45:00,25.1,83.7
2024-09-11 12:45:00,27.6,75.8
2024-09-11 14:45:00,29.8,67.2
2024-09-11 16:45:00,31,61
2024-09-11 18:45:00,30,76.7
2024-09-11 20:45:00,27.3,84.5
2024-09-11 22:45:00,25.3,82.8
2024-09-12 00:45:00,23.9,88.3
2024-09-12 02:45:00,23,89.2
2024-09-12 04:45:00,22.1,89.6
2024-09-12 06:45:00,21.1,90.2
2024-09-12 08:45:00,21.7,87.5
2024-09-12 10:45:00,25.9,76.9
2024-09-12 12:45:00,27.5,69.1
2024-09-12 14:45:00,29,66.4
2024-09-12 16:45:00,27.2,74.5
2024-09-12 18:45:00,24.9,77.7
2024-09-12 20:45:00,24,82.8
2024-09-12 22:45:00,23.5,83.5
2024-09-13 00:45:00,23.1,85.2
2024-09-13 02:45:00,22.7,86.7
2024-09-13 04:45:00,22.2,87.5
2024-09-13 06:45:00,21.8,88.6
2024-09-13 08:45:00,22.6,86.3
2024-09-13 10:45:00,23,85.4
2024-09-13 12:45:00,22.5,88.1
2024-09-13 14:45:00,25.9,78
2024-09-13 16:45:00,26.3,77.4
2024-09-13 18:45:00,24.9,84.9
2024-09-13 20:45:00,23.6,89
2024-09-13 22:45:00,23.3,90
2024-09-14 00:45:00,22.5,88.6
2024-09-14 02:45:00,22.4,92.1
2024-09-14 04:45:00,21.9,93.3
2024-09-14 06:45:00,21.6,93.8
2024-09-14 08:45:00,22.1,92.8
2024-09-14 10:45:00,23.3,90.4
2024-09-14 12:45:00,24.4,89.3
2024-09-14 14:45:00,24.2,91.1
2024-09-14 16:45:00,23.2,88
2024-09-14 18:45:00,22.1,89.1
2024-09-14 20:45:00,21.7,88.1
2024-09-14 22:45:00,20.4,88.7
2024-09-15 00:45:00,18.9,88
2024-09-15 02:45:00,18.2,88.7
2024-09-15 04:45:00,17.7,89.1
2024-09-15 06:45:00,17.1,88.8
2024-09-15 08:45:00,17.3,88.1
2024-09-15 10:45:00,18.2,85.7
2024-09-15 12:45:00,18,87.7
2024-09-15 14:45:00,17.4,87.1
2024-09-15 16:45:00,18.2,87.2
2024-09-15 18:45:00,18,86.8
2024-09-15 20:45:00,19.1,86
2024-09-15 22:45:00,18.4,89
2024-09-16 00:45:00,17.1,87.7
2024-09-16 02:45:00,17.5,87.2
2024-09-16 04:45:00,16.8,89.4
2024-09-16 06:45:00,16.3,91
2024-09-16 08:45:00,16.2,92.2
2024-09-16 10:45:00,16.3,93
2024-09-16 12:45:00,16.6,93
2024-09-16 14:45:00,18.1,90
2024-09-16 16:45:00,20.8,80.9
2024-09-16 18:45:00,21.4,76.8
2024-09-16 20:45:00,21.7,77.7
2024-09-16 22:45:00,21.1,80.4
2024-09-17 00:45:00,19.6,87.4
2024-09-17 02:45:00,19,89.3
2024-09-17 04:45:00,17.9,90.7
2024-09-17 06:45:00,17.5,92.6
2024-09-17 08:45:00,17.1,92.7
2024-09-17 10:45:00,16.3,92.5
2024-09-17 12:45:00,17.7,89.9
2024-09-17 14:45:00,22.4,75
2024-09-17 16:45:00,22.9,63.8
2024-09-17 18:45:00,23.7,59.7
2024-09-17 20:45:00,23.2,65.6
2024-09-17 22:45:00,21,74.7
2024-09-18 00:45:00,19.9,80.6
2024-09-18 02:45:00,19.1,83.8
2024-09-18 04:45:00,18.8,85.2
2024-09-18 06:45:00,17.4,89.5
2024-09-18 08:45:00,16.8,90.3
2024-09-18 10:45:00,16.9,91.3
2024-09-18 12:45:00,17.6,90.6
2024-09-18 14:45:00,22.7,70.7
2024-09-18 16:45:00,22.4,67.9
2024-09-18 18:45:00,21.5,71.3
2024-09-18 20:45:00,21.1,74.1
2024-09-18 22:45:00,20.2,77.8
2024-09-19 00:45:00,19.6,83.7
2024-09-19 02:45:00,19.7,85.6
2024-09-19 04:45:00,19.3,86.8
2024-09-19 06:45:00,18.8,89.2
2024-09-19 08:45:00,18.6,90.5
2024-09-19 10:45:00,18.5,91.4
2024-09-19 12:45:00,20,88.8
2024-09-19 14:45:00,21.2,87.3
2024-09-19 16:45:00,22.9,85
2024-09-19 18:45:00,21.6,89.6
2024-09-19 20:45:00,21,91.9
2024-09-19 22:45:00,20.6,90.6
2024-09-20 00:45:00,20.1,92.2
2024-09-20 02:45:00,20.1,92.5
2024-09-20 04:45:00,19.8,94.5
2024-09-20 06:45:00,19.5,95.2
2024-09-20 08:45:00,19.6,95.1
2024-09-20 10:45:00,19.7,95.3
2024-09-20 12:45:00,20.6,93.5
2024-09-20 14:45:00,21,92.7
2024-09-20 16:45:00,21.5,93.1
2024-09-20 18:45:00,20.8,94.7
2024-09-20 20:45:00,20.4,94.7
2024-09-20 22:45:00,19.8,94.1
2024-09-21 00:45:00,19.2,94.3
2024-09-21 02:45:00,18.8,94.6
2024-09-21 04:45:00,18.5,94.7
2024-09-21 06:45:00,18.2,94.4
2024-09-21 08:45:00,17.7,94.2
2024-09-21 10:45:00,18.6,92.3
2024-09-21 12:45:00,21.9,83
2024-09-21 14:45:00,24.2,75.2
2024-09-21 16:45:00,25.4,67
2024-09-21 18:45:00,25.9,65
2024-09-21 20:45:00,23.9,81.4
2024-09-21 22:45:00,21.6,87.5
2024-09-22 00:45:00,21,87.7
2024-09-22 02:45:00,20.9,89
2024-09-22 04:45:00,20.7,89.9
2024-09-22 06:45:00,20.1,92
2024-09-22 08:45:00,20.1,92.6
2024-09-22 10:45:00,21.8,88.1
2024-09-22 12:45:00,23.6,79.9
2024-09-22 14:45:00,24.9,76.6
2024-09-22 16:45:00,26.2,75.1
2024-09-22 18:45:00,27.1,75.3
2024-09-22 20:45:00,25.2,83.8
2024-09-22 22:45:00,22.7,87.6
2024-09-23 00:45:00,21.8,89.3
2024-09-23 02:45:00,21.9,88.4
2024-09-23 04:45:00,21.4,91.6
2024-09-23 06:45:00,21.2,92.7
2024-09-23 08:45:00,21,93.7
2024-09-23 10:45:00,22,91.7
2024-09-23 12:45:00,24,85.8
2024-09-23 14:45:00,26.3,80
2024-09-23 16:45:00,27.7,79
2024-09-23 18:45:00,26.9,82.8
2024-09-23 20:45:00,23.9,88.7
2024-09-23 22:45:00,22.7,90.6
2024-09-24 00:45:00,21.6,91.8
2024-09-24 02:45:00,21.2,91.3
2024-09-24 04:45:00,21.1,91.7
2024-09-24 06:45:00,21,92
2024-09-24 08:45:00,21.2,92.4
2024-09-24 10:45:00,23,84.6
2024-09-24 12:45:00,25.9,69.4
2024-09-24 14:45:00,27.3,64.7
2024-09-24 16:45:00,27.4,68
2024-09-24 18:45:00,26.2,74.1
2024-09-24 20:45:00,24.2,80.3
2024-09-24 22:45:00,22.9,83.5
2024-09-25 00:45:00,22.1,86
2024-09-25 02:45:00,21.7,87.3
2024-09-25 04:45:00,21.6,88.6
2024-09-25 06:45:00,21.5,90
2024-09-25 08:45:00,21.5,89.7
2024-09-25 10:45:00,23.6,83.2
2024-09-25 12:45:00,26,74.2
2024-09-25 14:45:00,27.4,71.4
2024-09-25 16:45:00,27.9,71.6
2024-09-25 18:45:00,25.9,81
2024-09-25 20:45:00,23.3,84.5
2024-09-25 22:45:00,22.6,87.2
2024-09-26 00:45:00,22.8,87.2
2024-09-26 02:45:00,22.4,88.9
2024-09-26 04:45:00,22.1,90.5
2024-09-26 06:45:00,21.9,90.9
2024-09-26 08:45:00,22.9,89.7
2024-09-26 10:45:00,23.8,84.9
2024-09-26 12:45:00,24.5,82.5
2024-09-26 14:45:00,26.1,77.5
2024-09-26 16:45:00,26,80.2
2024-09-26 18:45:00,24.9,85
2024-09-26 20:45:00,24.1,89.5
2024-09-26 22:45:00,23.6,91.4
2024-09-27 00:45:00,22.8,92.7
2024-09-27 02:45:00,22.4,93.1
2024-09-27 04:45:00,22.3,93.7
2024-09-27 06:45:00,21.9,94.5
2024-09-27 08:45:00,23.5,90.2
2024-09-27 10:45:00,25.4,72.8
2024-09-27 12:45:00,27.8,57.9
2024-09-27 14:45:00,28.2,63.7
2024-09-27 16:45:00,25.6,64.8
2024-09-27 18:45:00,24.3,68.1
2024-09-27 20:45:00,22.4,70
2024-09-27 22:45:00,21.7,75.8
2024-09-28 00:45:00,20.4,80.6
2024-09-28 02:45:00,19.2,84.4
2024-09-28 04:45:00,18.4,85.8
2024-09-28 06:45:00,19.7,82.7
2024-10-12 08:45:00,21.9,94.7
2024-10-12 10:45:00,21.5,94.7
2024-10-12 12:45:00,21.3,95
2024-10-12 14:45:00,20.8,95.4
2024-10-12 16:45:00,22.9,91.5
2024-10-12 18:45:00,27.6,74.2
2024-10-12 20:45:00,28.6,68
2024-10-12 22:45:00,28.2,75.2
2024-10-13 00:45:00,26.1,74.6
2024-10-13 02:45:00,24.4,81.4
2024-10-13 04:45:00,23.4,81.4
2024-10-13 06:45:00,22.5,83.7
2024-10-13 08:45:00,21.6,83.5
2024-10-13 10:45:00,21.2,85.7
2024-10-13 12:45:00,19.4,88.5
2024-10-13 14:45:00,19.2,88
2024-10-13 16:45:00,22.9,74.4
2024-10-13 18:45:00,25.4,64.3
2024-10-13 20:45:00,25.2,60.7
2024-10-13 22:45:00,25.9,58.7
2024-10-14 00:45:00,24.8,66.5
2024-10-14 02:45:00,22.8,73.6
2024-10-14 04:45:00,22,77.2
2024-10-14 06:45:00,21.3,83.7
2024-10-14 08:45:00,20.6,85.6
2024-10-14 10:45:00,19.8,87.3
2024-10-14 12:45:00,19.4,88.5
2024-10-14 14:45:00,19.5,88.4
2024-10-14 16:45:00,25.2,67.8
2024-10-14 18:45:00,24.4,64.8
2024-10-14 20:45:00,25.4,64.6
2024-10-14 22:45:00,24.2,71.4
2024-10-15 00:45:00,22.5,82
2024-10-15 02:45:00,21.3,86.1
2024-10-15 04:45:00,20.9,88.1
2024-10-15 06:45:00,20.8,89.7
2024-10-15 08:45:00,20.6,90.4
2024-10-15 10:45:00,20.2,91
2024-10-15 12:45:00,20,92.4
2024-10-15 14:45:00,20.1,92
2024-10-15 16:45:00,21.5,88.3
2024-10-15 18:45:00,21.8,87.1
2024-10-15 20:45:00,23.5,83.8
2024-10-15 22:45:00,23.2,83.1
2024-10-16 00:45:00,21.8,87.7
2024-10-16 02:45:00,21.1,89.3
2024-10-16 04:45:00,20.8,91
2024-10-16 06:45:00,20.4,92
2024-10-16 08:45:00,19.9,92.9
2024-10-16 10:45:00,19.4,92.9
2024-10-16 12:45:00,19.3,93.2
2024-10-16 14:45:00,20.2,92
2024-10-16 16:45:00,25.9,73.3
2024-10-16 18:45:00,26.8,72
2024-10-16 20:45:00,28.4,63.4
2024-10-16 22:45:00,28.2,67.1
2024-10-17 00:45:00,26.2,69.6
2024-10-17 02:45:00,24.2,76.4
2024-10-17 04:45:00,23.5,79.9
2024-10-17 06:45:00,23.3,80.5
2024-10-17 08:45:00,22.8,82.4
2024-10-17 10:45:00,22.3,85.4
2024-10-17 12:45:00,21.9,86.7
2024-10-17 14:45:00,23.7,81.5
2024-10-17 16:45:00,26.3,70.2
2024-10-17 18:45:00,28.5,61.4
2024-10-17 20:45:00,28.1,60.9
2024-10-17 22:45:00,27.8,71.1
2024-10-18 00:45:00,25.1,77.9
2024-10-18 02:45:00,23.7,80.1
2024-10-18 04:45:00,23.3,79.6
2024-10-18 06:45:00,22.9,80.5
2024-10-18 08:45:00,22.4,82.1
2024-10-18 10:45:00,21.9,84.2
2024-10-18 12:45:00,21.8,85.1
2024-10-18 14:45:00,23.2,81.5
2024-10-18 16:45:00,24.3,81.9
2024-10-18 18:45:00,26.6,67.8
2024-10-18 20:45:00,28.2,63.4
2024-10-18 22:45:00,26.4,74.2
2024-10-19 00:45:00,24.1,80
2024-10-19 02:45:00,22.4,86.7
2024-10-19 04:45:00,21.8,88
2024-10-19 06:45:00,21.4,88.9
2024-10-19 08:45:00,21,89.3
2024-10-19 10:45:00,20.9,87.8
2024-10-19 12:45:00,20.9,88.2
2024-10-19 14:45:00,21.7,87.7
2024-10-19 16:45:00,22.8,83.7
2024-10-19 18:45:00,23.7,77.9
2024-10-19 20:45:00,24.4,74.1
2024-10-19 22:45:00,23.8,80.6
2024-10-20 00:45:00,22,79.9
2024-10-20 02:45:00,21.1,84.4
2024-10-20 04:45:00,20.3,87.2
2024-10-20 06:45:00,20.1,88.1
2024-10-20 08:45:00,19.9,89.3
2024-10-20 10:45:00,19.7,90.5
2024-10-20 12:45:00,20.4,89.3
2024-10-20 14:45:00,23.9,76.1
